Longitude_NAD83,Latitude_NAD83,Z_m,Hydraulic_conductivity_m/d,K_log transformed,measurement_method
914726.3,2184009.6,,1502.1,3.177,
912955.9,2183598.7,,131.4,2.119,
912988.6,2183445.4,,256,2.408,
913100.3,2183663.6,,769.1,2.886,
913018.5,2183415.3,,4777.2,3.679,
913076.1,2183447.4,,460,2.663,
913135.1,2183418,,821.1,2.914,
911738.7,2184494.7,,2938,3.468,
904806,2183996.6,,118.5,2.074,
817249.6,2181573.7,,72.9,1.862,
908691.7,2185040.6,,53.7,1.73,
908719.5,2185102.8,,197.9,2.296,
817046.2,2183170.6,,8.5,0.929,
814127.4,2183395.7,,835.4,2.922,
914857.4,2185892.1,,593.8,2.774,
914857.4,2185892.1,,511.5,2.709,
816748.9,2185135.1,,413,2.616,
816669.2,2184702.8,,650.1,2.813,
816330.6,2185712.5,,159.9,2.204,
816293.2,2186173.5,,2131.7,3.329,
811542.2,2184550.6,,909.8,2.959,
811182.9,2185098.3,,306.1,2.486,
816504.9,2187377.7,,267.9,2.428,
816935.3,2187754.7,,163.4,2.213,
816372.4,2186636.6,,283.7,2.453,
819634.3,2189988.5,,250.2,2.398,
818328.5,2189688,,21.3,1.329,
818823.7,2189696.9,,243.1,2.386,
819228.7,2189858.1,,302.2,2.48,
